ShellLength;Temperature;G
0;22;0,035042545
10;22;0,033290417
20;22;0,03153829
30;22;0,029786163
40;22;0,028034036
50;22;0,026281908
60;22;0,024529781
70;22;0,022777654
80;22;0,021025527
90;22;0,0192734
100;22;0,017521272
110;22;0,015769145
120;22;0,014017018
130;22;0,012264891
140;22;0,010512763
150;22;0,008760636
160;22;0,007008509
170;22;0,005256382
180;22;0,003504254
190;22;0,001752127
200;22;0
0;22,1;0,035591348
10;22,1;0,03381178
20;22,1;0,032032213
30;22,1;0,030252646
40;22,1;0,028473078
50;22,1;0,026693511
60;22,1;0,024913943
70;22,1;0,023134376
80;22,1;0,021354809
90;22,1;0,019575241
100;22,1;0,017795674
110;22,1;0,016016106
120;22,1;0,014236539
130;22,1;0,012456972
140;22,1;0,010677404
150;22,1;0,008897837
160;22,1;0,00711827
170;22,1;0,005338702
180;22,1;0,003559135
190;22,1;0,001779567
200;22,1;0
0;22,2;0,036145599
10;22,2;0,034338319
20;22,2;0,032531039
30;22,2;0,030723759
40;22,2;0,028916479
50;22,2;0,027109199
60;22,2;0,025301919
70;22,2;0,023494639
80;22,2;0,021687359
90;22,2;0,019880079
100;22,2;0,018072799
110;22,2;0,016265519
120;22,2;0,01445824
130;22,2;0,01265096
140;22,2;0,01084368
150;22,2;0,0090364
160;22,2;0,00722912
170;22,2;0,00542184
180;22,2;0,00361456
190;22,2;0,00180728
200;22,2;0
0;22,3;0,036705229
10;22,3;0,034869968
20;22,3;0,033034706
30;22,3;0,031199445
40;22,3;0,029364183
50;22,3;0,027528922
60;22,3;0,02569366
70;22,3;0,023858399
80;22,3;0,022023137
90;22,3;0,020187876
100;22,3;0,018352615
110;22,3;0,016517353
120;22,3;0,014682092
130;22,3;0,01284683
140;22,3;0,011011569
150;22,3;0,009176307
160;22,3;0,007341046
170;22,3;0,005505784
180;22,3;0,003670523
190;22,3;0,001835261
200;22,3;0
0;22,4;0,037270162
10;22,4;0,035406654
20;22,4;0,033543146
30;22,4;0,031679638
40;22,4;0,02981613
50;22,4;0,027952622
60;22,4;0,026089114
70;22,4;0,024225606
80;22,4;0,022362097
90;22,4;0,020498589
100;22,4;0,018635081
110;22,4;0,016771573
120;22,4;0,014908065
130;22,4;0,013044557
140;22,4;0,011181049
150;22,4;0,009317541
160;22,4;0,007454032
170;22,4;0,005590524
180;22,4;0,003727016
190;22,4;0,001863508
200;22,4;0
0;22,5;0,037840316
10;22,5;0,0359483
20;22,5;0,034056285
30;22,5;0,032164269
40;22,5;0,030272253
50;22,5;0,028380237
60;22,5;0,026488221
70;22,5;0,024596206
80;22,5;0,02270419
90;22,5;0,020812174
100;22,5;0,018920158
110;22,5;0,017028142
120;22,5;0,015136127
130;22,5;0,013244111
140;22,5;0,011352095
150;22,5;0,009460079
160;22,5;0,007568063
170;22,5;0,005676047
180;22,5;0,003784032
190;22,5;0,001892016
200;22,5;0
0;22,6;0,0384156
10;22,6;0,03649482
20;22,6;0,03457404
30;22,6;0,03265326
40;22,6;0,03073248
50;22,6;0,0288117
60;22,6;0,02689092
70;22,6;0,02497014
80;22,6;0,02304936
90;22,6;0,02112858
100;22,6;0,0192078
110;22,6;0,01728702
120;22,6;0,01536624
130;22,6;0,01344546
140;22,6;0,01152468
150;22,6;0,0096039
160;22,6;0,00768312
170;22,6;0,00576234
180;22,6;0,00384156
190;22,6;0,00192078
200;22,6;0
0;22,7;0,038995917
10;22,7;0,037046121
20;22,7;0,035096325
30;22,7;0,03314653
40;22,7;0,031196734
50;22,7;0,029246938
60;22,7;0,027297142
70;22,7;0,025347346
80;22,7;0,02339755
90;22,7;0,021447754
100;22,7;0,019497959
110;22,7;0,017548163
120;22,7;0,015598367
130;22,7;0,013648571
140;22,7;0,011698775
150;22,7;0,009748979
160;22,7;0,007799183
170;22,7;0,005849388
180;22,7;0,003899592
190;22,7;0,001949796
200;22,7;0
0;22,8;0,039581161
10;22,8;0,037602103
20;22,8;0,035623045
30;22,8;0,033643987
40;22,8;0,031664929
50;22,8;0,029685871
60;22,8;0,027706812
70;22,8;0,025727754
80;22,8;0,023748696
90;22,8;0,021769638
100;22,8;0,01979058
110;22,8;0,017811522
120;22,8;0,015832464
130;22,8;0,013853406
140;22,8;0,011874348
150;22,8;0,00989529
160;22,8;0,007916232
170;22,8;0,005937174
180;22,8;0,003958116
190;22,8;0,001979058
200;22,8;0
0;22,9;0,040171217
10;22,9;0,038162656
20;22,9;0,036154095
30;22,9;0,034145534
40;22,9;0,032136974
50;22,9;0,030128413
60;22,9;0,028119852
70;22,9;0,026111291
80;22,9;0,02410273
90;22,9;0,022094169
100;22,9;0,020085609
110;22,9;0,018077048
120;22,9;0,016068487
130;22,9;0,014059926
140;22,9;0,012051365
150;22,9;0,010042804
160;22,9;0,008034243
170;22,9;0,006025683
180;22,9;0,004017122
190;22,9;0,002008561
200;22,9;0
0;23;0,040765963
10;23;0,038727665
20;23;0,036689367
