ShellLength;Temperature;G
0;22;0,041207425
10;22;0,039147054
20;22;0,037086683
30;22;0,035026311
40;22;0,03296594
50;22;0,030905569
60;22;0,028845198
70;22;0,026784826
80;22;0,024724455
90;22;0,022664084
100;22;0,020603713
110;22;0,018543341
120;22;0,01648297
130;22;0,014422599
140;22;0,012362228
150;22;0,010301856
160;22;0,008241485
170;22;0,006181114
180;22;0,004120743
190;22;0,002060371
200;22;0
0;22,1;0,041852777
10;22,1;0,039760138
20;22,1;0,037667499
30;22,1;0,03557486
40;22,1;0,033482221
50;22,1;0,031389583
60;22,1;0,029296944
70;22,1;0,027204305
80;22,1;0,025111666
90;22,1;0,023019027
100;22,1;0,020926388
110;22,1;0,01883375
120;22,1;0,016741111
130;22,1;0,014648472
140;22,1;0,012555833
150;22,1;0,010463194
160;22,1;0,008370555
170;22,1;0,006277917
180;22,1;0,004185278
190;22,1;0,002092639
200;22,1;0
0;22,2;0,042504535
10;22,2;0,040379308
20;22,2;0,038254081
30;22,2;0,036128855
40;22,2;0,034003628
50;22,2;0,031878401
60;22,2;0,029753174
70;22,2;0,027627948
80;22,2;0,025502721
90;22,2;0,023377494
100;22,2;0,021252267
110;22,2;0,019127041
120;22,2;0,017001814
130;22,2;0,014876587
140;22,2;0,01275136
150;22,2;0,010626134
160;22,2;0,008500907
170;22,2;0,00637568
180;22,2;0,004250453
190;22,2;0,002125227
200;22,2;0
0;22,3;0,043162618
10;22,3;0,041004487
20;22,3;0,038846356
30;22,3;0,036688226
40;22,3;0,034530095
50;22,3;0,032371964
60;22,3;0,030213833
70;22,3;0,028055702
80;22,3;0,025897571
90;22,3;0,02373944
100;22,3;0,021581309
110;22,3;0,019423178
120;22,3;0,017265047
130;22,3;0,015106916
140;22,3;0,012948785
150;22,3;0,010790655
160;22,3;0,008632524
170;22,3;0,006474393
180;22,3;0,004316262
190;22,3;0,002158131
200;22,3;0
0;22,4;0,043826938
10;22,4;0,041635591
20;22,4;0,039444244
30;22,4;0,037252897
40;22,4;0,03506155
50;22,4;0,032870203
60;22,4;0,030678857
70;22,4;0,02848751
80;22,4;0,026296163
90;22,4;0,024104816
100;22,4;0,021913469
110;22,4;0,019722122
120;22,4;0,017530775
130;22,4;0,015339428
140;22,4;0,013148081
150;22,4;0,010956734
160;22,4;0,008765388
170;22,4;0,006574041
180;22,4;0,004382694
190;22,4;0,002191347
200;22,4;0
0;22,5;0,044497396
10;22,5;0,042272527
20;22,5;0,040047657
30;22,5;0,037822787
40;22,5;0,035597917
50;22,5;0,033373047
60;22,5;0,031148178
70;22,5;0,028923308
80;22,5;0,026698438
90;22,5;0,024473568
100;22,5;0,022248698
110;22,5;0,020023828
120;22,5;0,017798959
130;22,5;0,015574089
140;22,5;0,013349219
150;22,5;0,011124349
160;22,5;0,008899479
170;22,5;0,006674609
