PERIODE;DATE;NOMBRE_JOURS;KG_PERIODE
P_08/2005-08/2005_P2_P3;NA;0;0
P_08/2005-10/2005_P2_P3;NA;46;117,7802198
P_10/2005-04/2006_P1_P4;NA;181;2781,631868
P_04/2006-10/2006_P2_P3;NA;182;1057
P_10/2006-04/2007_P1_P4;NA;181;2781,631868
P_04/2007-10/2007_P2_P3;NA;182;1057
P_10/2007-04/2008_P1_P4 ;NA;182;2797
P_04/2008-10/2008_P2_P3;NA;182;1057
P_10/2008-04/2009_P1_P4 ;NA;181;2781,631868
P_04/2009-10/2009_P2_P3;NA;182;1057
P_10/2009-04/2010_P1_P4;NA;181;2781,631868
P_04/2010-07/2010_P2_P3;NA;91;824
P_07/2010-10/2010_P2_P3;NA;90;230,4395604
P_10/2010-04/2011_P1_P4;NA;181;2781,631868
P_04/2011-10/2011_P2_P3;NA;182;1057
P_10/2011-04/2012_P1_P4;NA;182;2797
P_04/2012-10/2012_P2_P3;NA;182;1057
P_10/2012-04/2013_P1_P4;NA;181;2781,631868
P_04/2013-10/2013_P2_P3;NA;182;1057
P_10/2013-12/2013_P1_P4;NA;70;396,1538462
P_12/2013-04/2014_P1_P4;NA;110;781,4835165
P_04/2014-10/2014_P2_P3;NA;182;947,15
P_10/2014-04/2015_P1_P4;NA;181;1377,091758
P_04/2015-10/2015_P2_P3;NA;182;947,15
P_10/2015-04/2016_P1_P4;NA;185;1407,524725
P_04/2016-09/2016_P2_P3;NA;152;791,0263736
P_09/2016-10/2016_P2_P3;NA;26;123
P_10/2016-03/2017_P1_P4;NA;159;1209,71044
P_03/2017-04/2017_P1_P4;NA;21;191,8846154
P_04/2017-10/2017_P2_P3;NA;182;947,15
P_10/2017-12/2017_P1_P4 ;NA;63;382,9846154
P_12/2017-04/2018_P1_P4;NA;117;1069,071429
P_04/2018-10/2018_P2_P3;NA;182;947,15
P_10/2018-04/2019_P1_P4;NA;181;1377,091758
P_04/2019-10/2019_P2_P3;NA;182;947,15
P_10/2019-04/2020_P1_P4;NA;182;1438,2
P_04/2020-10/2020_P2_P3;NA;182;837,3
P_10/2020-03/2021_P1_P4;NA;177;1160,614286
P_03/2021-10/2021_P2_P3;NA;186;936,1318681
P_10/2021-04/2022_P1_P4;NA;183;886,8461538
P_04/2022-10/2022_P2_P3;NA;209;1396,395604
P_10/2022-04/2023_P1_P4;NA;152;1183,428571
P_04/2023-05/2023_P2_P3;NA;34;241,7362637
P_05/2023-10/2023_P2_P3;NA;147;982,1538462
P_10/2023-11/2023_P1_P4;NA;39;252
P_11/2023-04/2024_P1_P4;NA;142;786
P_04/2024-05/2024_P2_P3;NA;33;168,5
P_05/2024-09/2024_P2_P3;NA;146;10
P_09/2024-10/2024_P2_P3;NA;;2
P_10/2024-04/2025_P1_P4;NA;;617
P_04/2025-05/2025_P2_P3;;;95
